Field ID,Description,Category
23358,ASAT error indicator,Abdominal composition
29136,Actions and feelings during periods of overeating/binge eating,Eating patterns
20554,Actions taken following self-harm,Self-harm behaviours
20550,Activities undertaken to treat anxiety,Anxiety
20547,Activities undertaken to treat depression,Depression
29047,Activities undertaken to treat depression,Depression
28753,Additional help needed because of health issues identified,Health and well-being
41232,Administrative and legal statuses,Summary Administration
29250,Aids used to assist with answering questionnaire,Entry method
41219,Anaesthetics administered during delivery,Summary Maternity
41220,Anaesthetics administered post delivery,Summary Maternity
23359,Anterior thigh error indicator (left),Abdominal composition
23361,Anterior thigh error indicator (right),Abdominal composition
20199,Antibiotic codes for last 3 months,Medications
6146,Attendance/disability/mobility allowance,Other sociodemographic factors
20552,Behavioural and miscellaneous addictions,Addictions
6152,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",Medical conditions
20001,"Cancer code, self-reported",Medical conditions
28054,Care or support provided to people with COVID-19,Waves 1-6 exposure questionnaire
41214,Carer support indicators,Summary Psychiatric
6142,Current employment status,Employment
29169,Current situation,Social situation
41221,Delivery methods,Summary Maternity
41222,Delivery onset methods,Summary Maternity
41223,Delivery places,Summary Maternity
41248,Destinations on discharge from hospital (recoded),Summary Administration
41150,Detention categories (recoded),Summary Psychiatric
41270,Diagnoses - ICD10,Summary Diagnoses
41271,Diagnoses - ICD9,Summary Diagnoses
41202,Diagnoses - main ICD10,Summary Diagnoses
41203,Diagnoses - main ICD9,Summary Diagnoses
41204,Diagnoses - secondary ICD10,Summary Diagnoses
41205,Diagnoses - secondary ICD9,Summary Diagnoses
30551,Experiences of abrupt dropping of head and/or shoulders in various situations,Sleep disturbances
30549,Experiences of buckling of the knees in various situations,Sleep disturbances
30554,"Experiences of falling to the ground, unable to move in various situations",Sleep disturbances
30550,Experiences of sagging of the jaw in various situations,Sleep disturbances
30553,Experiences of slurring of speech in various situations,Sleep disturbances
30552,Experiences of weakness in your arms in various situations,Sleep disturbances
41201,External causes - ICD10,Summary Diagnoses
6148,Eye problems/disorders,Eyesight
23364,FR liver PDFF mean error indicator,Abdominal composition
6151,Fractured bone site(s),Medical conditions
6139,Gas or solid-fuel cooking/heating,Household
10860,Gas or solid-fuel cooking/heating (pilot),Household
6140,Heating type(s) in home,Household
41151,History of psychiatric care on admission (recoded),Summary Psychiatric
41231,Hospital episode type,Summary Administration
6141,How are people in household related to participant,Household
6145,"Illness, injury, bereavement, stress in last 2 years",Mental health
