Field ID,Description,Category,Unnamed: 3
22436,10P Liver PDFF (proton density fat fraction),Abdominal composition,
23474,3-Hydroxybutyrate,NMR metabolomics,
5156,3mm asymmetry index (left),Refractometer 1,
5159,3mm asymmetry index (right),Refractometer 1,
5119,3mm cylindrical power (left),Refractometer 1,
5116,3mm cylindrical power (right),Refractometer 1,
5163,3mm regularity index (left),Refractometer 1,
5160,3mm regularity index (right),Refractometer 1,
5135,3mm strong meridian (left),Refractometer 1,
5132,3mm strong meridian (right),Refractometer 1,
5096,3mm weak meridian (left),Refractometer 1,
5099,3mm weak meridian (right),Refractometer 1,
5157,6mm asymmetry index (left),Refractometer 1,
5158,6mm asymmetry index (right),Refractometer 1,
5118,6mm cylindrical power (left),Refractometer 1,
5117,6mm cylindrical power (right),Refractometer 1,
5162,6mm regularity index (left),Refractometer 1,
5161,6mm regularity index (right),Refractometer 1,
5134,6mm strong meridian (left),Refractometer 1,
5133,6mm strong meridian (right),Refractometer 1,
5097,6mm weak meridian (left),Refractometer 1,
5098,6mm weak meridian (right),Refractometer 1,
25767,90th percentile of BOLD effect (in group-defined amygdala activation mask) for faces-shapes contrast,Task functional brain MRI,
25763,90th percentile of BOLD effect (in group-defined mask) for faces activation,Task functional brain MRI,
25765,90th percentile of BOLD effect (in group-defined mask) for faces-shapes contrast,Task functional brain MRI,
25761,90th percentile of BOLD effect (in group-defined mask) for shapes activation,Task functional brain MRI,
24452,90th percentile of absolute head motion from dMRI,Diffusion brain MRI,
24440,90th percentile of absolute head motion from rfMRI,Resting functional brain MRI,
24446,90th percentile of absolute head motion from tfMRI,Task functional brain MRI,
24459,90th percentile of mean (across space) in-plane displacement from rfMRI,Resting functional brain MRI,
24462,90th percentile of mean (across space) of Z displacement from rfMRI,Resting functional brain MRI,
24464,90th percentile of mean (across time) in-plane displacement from rfMRI,Resting functional brain MRI,
24466,90th percentile of mean (across time) of Z displacement from rfMRI,Resting functional brain MRI,
24455,90th percentile of relative head motion from dMRI,Diffusion brain MRI,
24443,90th percentile of relative head motion from rfMRI,Resting functional brain MRI,
24449,90th percentile of relative head motion from tfMRI,Task functional brain MRI,
25768,90th percentile of z-statistic (in group-defined amygdala activation mask) for faces-shapes contrast,Task functional brain MRI,
25764,90th percentile of z-statistic (in group-defined mask) for faces activation,Task functional brain MRI,
25766,90th percentile of z-statistic (in group-defined mask) for faces-shapes contrast,Task functional brain MRI,
25762,90th percentile of z-statistic (in group-defined mask) for shapes activation,Task functional brain MRI,
24613,AFib - Burden,Cardiac monitoring phase 2,#
24707,AFib - Burden,Cardiac monitoring phase 1,#
24710,AFib - First Occurrence,Cardiac monitoring phase 1,#
24708,AFib - Maximum Heart Rate,Cardiac monitoring phase 1,#
24709,AFib - Minimum Heart Rate,Cardiac monitoring phase 1,#
24620,AFlut - Burden,Cardiac monitoring phase 2,#
24729,AV Block - First Occurrence,Cardiac monitoring phase 1,#
24728,AV Block - Minimum Heart Rate,Cardiac monitoring phase 1,#
24638,AV Block 1 - Longest PQ interval,Cardiac monitoring phase 2,#
24642,AV Block 2 - Longest RR,Cardiac monitoring phase 2,#
24646,AV Block 3 - Longest RR,Cardiac monitoring phase 2,#
